Unnamed: 0_level_0 - id,Unnamed: 1_level_0 - S1,Unnamed: 2_level_0 - S2,Unnamed: 3_level_0 - S3,Unnamed: 4_level_0 - S4,Unnamed: 5_level_0 - S5,Unnamed: 6_level_0 - S6a,Unnamed: 7_level_0 - S6b,Unnamed: 8_level_0 - S7,Unnamed: 9_level_0 - S8,Unnamed: 10_level_0 - S9,Unnamed: 11_level_0 - Q1_SQ001,Unnamed: 12_level_0 - Q1bOE1,Unnamed: 13_level_0 - Q1bOE2,Unnamed: 14_level_0 - Q1BOE3,NEW POLICY - Q2_SQ001,NEW POLICY - Q3_SQ001,NEW POLICY - Q3_SQ002,NEW POLICY - Q3_SQ003,NEW POLICY - Q3_SQ004,NEW POLICY - Q3_SQ005,NEW POLICY - Q4,NEW POLICY - Q4_other,NEW POLICY - Q4a_SQ001,ALL - Q5,ALL - Q5a_SQ001,1 to 5 - Q6_SQ001,ALL 1 to 5 - Q7_SQ001,ALL 1 to 5 - Q8_SQ001,if cashless is selected then Q10-11 if reimbersment then Q10-12 - Q9,1 to 5 - Q10_SQ001,1 to 5 - Q10_SQ002,1 to 5 - Q10_SQ003,1 to 5 - Q10_SQ004,old data - Q11,old data - Q12,RENEWAL - Q13_SQ001,RENEWAL - Q14_SQ001,RENEWAL - Q14_SQ002,RENEWAL - Q14_SQ003,RENEWAL - Q14_SQ004,RENEWAL - Q14_SQ005,RENEWAL - Q15_1,RENEWAL - Q15_2,RENEWAL - Q15_3,RENEWAL - Q15_4,ALL - Q16_AO01,ALL - Q16_AO02,ALL - Q16_AO03,ALL - Q16_AO04,ALL - Q16_AO05,ALL - Q16_other
10035,No,None of these,Yes,KOLKATA,More than 60 years,MASTERS,SELF EMPLOYED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,4,,,,,,,,,10.0,9.0,10.0,10.0,8.0,8.0,2.0,1.0,3.0,4.0,1,1,1,0,0,0
10036,No,None of these,Yes,KANPUR,41 – 50 years,HIGH SCHOOL,SALARIED,CARE HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,9.0,7.0,7.0,9.0,9.0,3.0,1.0,4.0,2.0,1,1,0,0,0,0
10038,No,None of these,Yes,HYDERABAD,31 – 40 years,MASTERS,SELF EMPLOYED,NIVA BUPA,Renewal policy from other company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,9.0,9.0,7.0,9.0,7.0,4.0,2.0,3.0,1.0,1,1,1,0,0,0
10042,No,None of these,Yes,DELHI,31 – 40 years,PROFESSIONAL DEGREE,SALARIED,CARE HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,10.0,8.0,9.0,10.0,8.0,2.0,1.0,4.0,3.0,1,1,0,0,0,0
10043,No,None of these,Yes,BANGALORE,31 – 40 years,MASTERS,UNEMPLOYED,CARE HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,7,,,,,,,,,,,,,Yes,7.0,3.0,5,5.0,Cashless,4.0,4.0,5.0,2.0,2.0,,7.0,7.0,9.0,7.0,9.0,9.0,1.0,4.0,2.0,3.0,1,0,0,0,1,0
10045,No,None of these,Yes,KOLKATA,21 – 30 years,PROFESSIONAL DEGREE,SALARIED,CARE HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,8.0,10.0,7.0,8.0,7.0,8.0,4.0,1.0,2.0,3.0,1,0,0,0,0,0
10047,No,None of these,Yes,INDORE,31 – 40 years,MASTERS,SELF EMPLOYED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,8.0,10.0,7.0,9.0,7.0,10.0,1.0,3.0,4.0,2.0,1,0,1,0,0,0
10049,No,None of these,Yes,BANGALORE,51 – 60 years,HIGH SCHOOL,SELF EMPLOYED,BAGIC,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,Yes,8.0,4.0,5,10.0,Cashless,5.0,2.0,4.0,4.0,2.0,,10.0,10.0,10.0,10.0,10.0,7.0,2.0,4.0,1.0,3.0,1,1,0,0,0,0
10050,No,None of these,Yes,KANPUR,31 – 40 years,MASTERS,SELF EMPLOYED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,7,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,10.0,8.0,9.0,9.0,9.0,3.0,4.0,1.0,2.0,0,1,0,0,0,0
10052,No,None of these,Yes,KOLKATA,21 – 30 years,PROFESSIONAL DEGREE,SELF EMPLOYED,STAR HEALTH,Renewal policy from other company,Above Rs 1 lakh,10,,,,,,,,,,,,,Yes,10.0,4.0,5,9.0,Cashless,3.0,4.0,3.0,3.0,1.0,,8.0,10.0,10.0,6.0,10.0,6.0,1.0,3.0,2.0,4.0,1,1,0,0,1,0
10055,No,None of these,Yes,LUDHIANA,51 – 60 years,HIGH SCHOOL,UNEMPLOYED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,8,,,,,,,,,,,,,No,,,4,,,,,,,,,10.0,9.0,10.0,7.0,7.0,9.0,1.0,4.0,3.0,2.0,0,1,1,0,0,0
10056,No,None of these,Yes,CHENNAI,21 – 30 years,PROFESSIONAL DEGREE,SALARIED,NEW INDIA ASSURANCE,New policy,Above Rs 1 lakh,10,,,,10.0,10.0,9.0,10.0,9.0,10.0,DIRECT BRANCH,,4.0,No,,,5,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
10059,No,None of these,Yes,AHMEDABAD,21 – 30 years,PROFESSIONAL DEGREE,SALARIED,NEW INDIA ASSURANCE,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,10.0,9.0,10.0,8.0,10.0,4.0,1.0,2.0,3.0,1,1,0,0,0,0
10061,No,None of these,Yes,KOLKATA,31 – 40 years,MASTERS,SELF EMPLOYED,STAR HEALTH,New policy,Above Rs 1 lakh,7,,,,9.0,9.0,10.0,10.0,8.0,9.0,DIRECT BRANCH,,4.0,No,,,4,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
10062,No,None of these,Yes,CHENNAI,41 – 50 years,LESS THAN HIGH SCHOOL,SALARIED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,4,,,,,,,,,8.0,10.0,7.0,10.0,9.0,10.0,2.0,1.0,3.0,4.0,0,1,0,0,1,0
10063,No,None of these,Yes,MUMBAI,41 – 50 years,PROFESSIONAL DEGREE,SALARIED,HDFC ERGO,New policy,Above Rs 1 lakh,9,,,,9.0,10.0,10.0,10.0,10.0,10.0,DIRECT BRANCH,,3.0,No,,,4,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
10064,No,None of these,Yes,MUMBAI,21 – 30 years,MASTERS,SALARIED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,10.0,10.0,10.0,8.0,8.0,2.0,1.0,3.0,4.0,0,0,1,0,0,0
10065,No,None of these,Yes,BANGALORE,21 – 30 years,PROFESSIONAL DEGREE,UNEMPLOYED,ADITYA BIRLA HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,7,,,,,,,,,,,,,No,,,4,,,,,,,,,8.0,8.0,7.0,7.0,9.0,9.0,2.0,1.0,3.0,4.0,0,1,1,0,0,0
10066,No,None of these,Yes,MUMBAI,31 – 40 years,PROFESSIONAL DEGREE,SELF EMPLOYED,BAGIC,Renewal policy from other company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,5,,,,,,,,,8.0,7.0,9.0,7.0,9.0,7.0,2.0,1.0,3.0,4.0,1,1,0,0,0,0
10067,No,None of these,Yes,MUMBAI,41 – 50 years,PROFESSIONAL DEGREE,HOUSE MAKER,BAGIC,New policy,Above Rs 1 lakh,10,,,,7.0,8.0,8.0,8.0,9.0,8.0,DIRECT BRANCH,,4.0,No,,,5,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0
10068,No,None of these,Yes,LUDHIANA,21 – 30 years,HIGH SCHOOL,SALARIED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,8,,,,,,,,,,,,,No,,,5,,,,,,,,,8.0,7.0,9.0,10.0,10.0,8.0,4.0,1.0,2.0,3.0,1,0,1,0,1,0
10070,No,None of these,Yes,BANGALORE,31 – 40 years,PROFESSIONAL DEGREE,SELF EMPLOYED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,5,,,,,,,,,,,,,No,,,2,,,,,,,,,4.0,5.0,5.0,7.0,7.0,3.0,2.0,1.0,3.0,4.0,1,0,0,0,0,0
10073,No,None of these,Yes,PUNE,31 – 40 years,PROFESSIONAL DEGREE,HOUSE MAKER,ICICI LOMBARD,Renewal policy from other company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,8.0,9.0,7.0,8.0,9.0,1.0,3.0,2.0,4.0,1,1,1,0,0,0
10074,No,None of these,Yes,JAIPUR,21 – 30 years,MASTERS,SALARIED,CARE HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,9.0,7.0,7.0,9.0,9.0,3.0,1.0,2.0,4.0,1,1,0,0,1,0
10076,No,None of these,Yes,CHENNAI,51 – 60 years,PROFESSIONAL DEGREE,RETIRED,NIVA BUPA,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,4,,,,,,,,,10.0,10.0,8.0,8.0,8.0,10.0,1.0,2.0,4.0,3.0,1,1,0,0,1,0
10079,No,None of these,Yes,PUNE,21 – 30 years,PROFESSIONAL DEGREE,SELF EMPLOYED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,4,,,,,,,,,10.0,9.0,9.0,10.0,8.0,9.0,2.0,1.0,3.0,4.0,1,0,1,0,0,0
10080,No,None of these,Yes,DELHI,51 – 60 years,HIGH SCHOOL,SELF EMPLOYED,NIVA BUPA,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,6,,,,,,,,,,,,,No,,,5,,,,,,,,,4.0,5.0,5.0,2.0,7.0,4.0,1.0,4.0,2.0,3.0,1,1,0,0,0,0
10087,No,None of these,Yes,JAIPUR,51 – 60 years,HIGH SCHOOL,SELF EMPLOYED,BAGIC,New policy,Above Rs 1 lakh,9,,,,8.0,9.0,10.0,9.0,8.0,9.0,DIRECT BRANCH,,4.0,No,,,5,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0
10092,No,None of these,Yes,LUDHIANA,21 – 30 years,MASTERS,SALARIED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,10.0,8.0,7.0,9.0,7.0,2.0,4.0,3.0,1.0,1,1,0,0,0,0
10097,No,None of these,Yes,PUNE,21 – 30 years,PROFESSIONAL DEGREE,SALARIED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,10.0,8.0,7.0,9.0,10.0,1.0,3.0,2.0,4.0,1,1,1,0,0,0
10098,No,None of these,Yes,INDORE,31 – 40 years,MASTERS,SELF EMPLOYED,NIVA BUPA,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,4,,,,,,,,,10.0,10.0,7.0,10.0,8.0,8.0,2.0,4.0,3.0,1.0,1,1,1,0,0,0
10099,No,None of these,Yes,HYDERABAD,31 – 40 years,PROFESSIONAL DEGREE,SELF EMPLOYED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,8.0,10.0,10.0,10.0,9.0,9.0,2.0,1.0,3.0,4.0,1,1,0,0,1,0
10101,No,None of these,Yes,PUNE,31 – 40 years,MASTERS,SALARIED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,4,,,,,,,,,8.0,7.0,10.0,7.0,7.0,8.0,1.0,2.0,3.0,4.0,0,0,1,0,0,0
10103,No,None of these,Yes,AHMEDABAD,31 – 40 years,PROFESSIONAL DEGREE,SALARIED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,7,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,9.0,9.0,9.0,10.0,8.0,2.0,4.0,3.0,1.0,1,1,1,0,0,0
10104,No,None of these,Yes,JAIPUR,31 – 40 years,MASTERS,SALARIED,BAGIC,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,10.0,10.0,6.0,10.0,10.0,4.0,1.0,2.0,3.0,1,0,0,0,0,0
10105,No,None of these,Yes,HYDERABAD,31 – 40 years,PROFESSIONAL DEGREE,SELF EMPLOYED,CARE HEALTH,Renewal policy from other company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,4,,,,,,,,,8.0,8.0,7.0,8.0,10.0,9.0,2.0,1.0,4.0,3.0,1,1,1,0,0,0
10109,No,None of these,Yes,DELHI,31 – 40 years,PROFESSIONAL DEGREE,SALARIED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,5,,,,,,,,,,,,,No,,,4,,,,,,,,,4.0,5.0,5.0,3.0,7.0,3.0,1.0,4.0,3.0,2.0,1,0,1,0,0,0
10110,No,None of these,Yes,AHMEDABAD,21 – 30 years,MASTERS,SELF EMPLOYED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,8,,,,,,,,,,,,,No,,,3,,,,,,,,,10.0,9.0,9.0,8.0,10.0,7.0,3.0,1.0,2.0,4.0,1,0,1,0,0,0
10112,No,None of these,Yes,MUMBAI,31 – 40 years,PROFESSIONAL DEGREE,SALARIED,HDFC ERGO,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,4,,,,,,,,,10.0,9.0,8.0,8.0,7.0,10.0,2.0,1.0,3.0,4.0,1,0,0,0,0,0
10113,No,None of these,Yes,DELHI,31 – 40 years,PROFESSIONAL DEGREE,HOUSE MAKER,NIVA BUPA,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,6,,,,,,,,,,,,,No,,,4,,,,,,,,,3.0,4.0,5.0,3.0,4.0,6.0,4.0,2.0,3.0,1.0,1,1,0,0,0,0
10114,No,None of these,Yes,INDORE,21 – 30 years,MASTERS,SALARIED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,9.0,8.0,8.0,7.0,10.0,2.0,4.0,1.0,3.0,0,1,0,0,0,0
10116,No,None of these,Yes,CHENNAI,31 – 40 years,MASTERS,SALARIED,CARE HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,4,,,,,,,,,10.0,10.0,7.0,9.0,8.0,9.0,2.0,1.0,4.0,3.0,1,1,0,0,0,0
10118,No,None of these,Yes,BANGALORE,41 – 50 years,LESS THAN HIGH SCHOOL,SELF EMPLOYED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,8,,,,,,,,,,,,,No,,,4,,,,,,,,,9.0,10.0,10.0,9.0,8.0,8.0,4.0,2.0,3.0,1.0,1,1,1,0,0,0
10123,No,None of these,Yes,HYDERABAD,21 – 30 years,HIGH SCHOOL,HOUSE MAKER,BAGIC,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,4,,,,,,,,,9.0,9.0,9.0,10.0,9.0,9.0,1.0,2.0,4.0,3.0,1,0,0,0,0,0
10124,No,None of these,Yes,BANGALORE,31 – 40 years,MASTERS,SALARIED,ADITYA BIRLA HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,8,,,,,,,,,,,,,No,,,4,,,,,,,,,8.0,10.0,7.0,8.0,7.0,8.0,4.0,1.0,2.0,3.0,1,1,0,0,1,0
10125,No,None of these,Yes,INDORE,41 – 50 years,PROFESSIONAL DEGREE,SALARIED,HDFC ERGO,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,10.0,7.0,9.0,7.0,10.0,4.0,1.0,2.0,3.0,1,0,0,0,0,0
10129,No,None of these,Yes,KANPUR,41 – 50 years,PROFESSIONAL DEGREE,SELF EMPLOYED,NEW INDIA ASSURANCE,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,9.0,10.0,10.0,10.0,7.0,1.0,4.0,2.0,3.0,0,0,0,0,1,0
10130,No,None of these,Yes,CHENNAI,21 – 30 years,PROFESSIONAL DEGREE,SALARIED,NEW INDIA ASSURANCE,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,8,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,10.0,8.0,9.0,9.0,9.0,2.0,1.0,4.0,3.0,1,0,0,0,0,0
10132,No,None of these,Yes,PUNE,21 – 30 years,HIGH SCHOOL,SELF EMPLOYED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,7.0,9.0,7.0,6.0,8.0,6.0,2.0,1.0,3.0,4.0,1,1,1,0,0,0
10135,No,None of these,Yes,LUDHIANA,31 – 40 years,PROFESSIONAL DEGREE,SELF EMPLOYED,BAGIC,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,4,,,,,,,,,9.0,10.0,9.0,7.0,7.0,6.0,1.0,3.0,2.0,4.0,1,1,0,0,1,0
10136,No,None of these,Yes,KANPUR,21 – 30 years,MASTERS,SALARIED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,5,,,,,,,,,,,,,No,,,5,,,,,,,,,4.0,4.0,7.0,3.0,5.0,5.0,2.0,1.0,4.0,3.0,1,1,0,0,0,0
10139,No,None of these,Yes,PUNE,41 – 50 years,HIGH SCHOOL,SELF EMPLOYED,BAGIC,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,10.0,9.0,10.0,8.0,10.0,2.0,4.0,1.0,3.0,1,1,0,0,0,0
10141,No,None of these,Yes,PUNE,21 – 30 years,PROFESSIONAL DEGREE,SALARIED,ICICI LOMBARD,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,10.0,9.0,8.0,9.0,9.0,7.0,3.0,4.0,1.0,2.0,1,1,0,0,0,0
10145,No,None of these,Yes,KOLKATA,31 – 40 years,PROFESSIONAL DEGREE,SELF EMPLOYED,STAR HEALTH,New policy,Above Rs 1 lakh,10,,,,10.0,8.0,8.0,10.0,10.0,8.0,DIRECT BRANCH,,5.0,No,,,5,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0
10154,No,None of these,Yes,PUNE,41 – 50 years,PROFESSIONAL DEGREE,SELF EMPLOYED,NIVA BUPA,New policy,Above Rs 1 lakh,7,,,,4.0,4.0,4.0,6.0,7.0,4.0,DIRECT BRANCH,,4.0,No,,,4,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
10155,No,None of these,Yes,LUDHIANA,21 – 30 years,MASTERS,HOUSE MAKER,HDFC ERGO,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,8.0,7.0,10.0,10.0,8.0,8.0,4.0,1.0,2.0,3.0,0,0,0,0,1,0
10159,No,None of these,Yes,BANGALORE,31 – 40 years,PROFESSIONAL DEGREE,SALARIED,BAGIC,Renewal policy from other company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,4,,,,,,,,,10.0,9.0,7.0,7.0,9.0,9.0,2.0,4.0,1.0,3.0,1,1,0,0,0,0
10161,No,None of these,Yes,BANGALORE,31 – 40 years,PROFESSIONAL DEGREE,SALARIED,HDFC ERGO,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,4,,,,,,,,,8.0,7.0,9.0,7.0,9.0,7.0,1.0,3.0,2.0,4.0,1,0,1,0,0,0
10162,No,None of these,Yes,LUDHIANA,41 – 50 years,PROFESSIONAL DEGREE,SELF EMPLOYED,CARE HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,4,,,,,,,,,,,,,No,,,5,,,,,,,,,5.0,3.0,5.0,6.0,4.0,6.0,1.0,2.0,3.0,4.0,1,0,0,0,1,0
10163,No,None of these,Yes,LUDHIANA,21 – 30 years,PROFESSIONAL DEGREE,SALARIED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,9.0,9.0,10.0,10.0,8.0,3.0,1.0,4.0,2.0,1,0,1,0,0,0
10166,No,None of these,Yes,PUNE,31 – 40 years,PROFESSIONAL DEGREE,SELF EMPLOYED,CARE HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,8.0,9.0,10.0,7.0,8.0,7.0,1.0,4.0,3.0,2.0,1,1,0,0,0,0
10167,No,None of these,Yes,CHENNAI,31 – 40 years,PROFESSIONAL DEGREE,SELF EMPLOYED,ADITYA BIRLA HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,8.0,9.0,7.0,8.0,9.0,1.0,4.0,2.0,3.0,1,1,0,0,0,0
